ParasiteCheckedBinomial,Par.Phylum,Par.Class,length.min.mm,length.max.mm,width.min.um,width.max.um,male.length.min,male.length.max,male.width.min,male.width.max,female.length.min,female.length.max,female.width.min,female.width.max,egg.size.min,egg.size.max
Elaphostrongylus cervi,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaphostrongylus rangiferi,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucoleus aerophilus,Nematoda,Enoplea,15,40,60,180,15,25,60,100,20,40,100,180,58,79
Eucoleus boehemi,Nematoda,Enoplea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucoleus schvalovoj,Nematoda,Enoplea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucyathostomum webbi,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euparyphium beaveri,Platyhelminthes,Trematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euparyphium inermo,Platyhelminthes,Trematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euparyphium melis,Platyhelminthes,Trematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euryhelmis costaricensis,Platyhelminthes,Trematoda,1.074,1.281,0.716,0.854,NA,NA,NA,NA,NA,NA,NA,NA,29,29
Euryhelmis pacifica,Platyhelminthes,Trematoda,0.66,1.04,0.34,0.68,NA,NA,NA,NA,NA,NA,NA,NA,20,34
Euryhelmis squamula,Platyhelminthes,Trematoda,0.6,1,1.4,1.9,NA,NA,NA,NA,NA,NA,NA,NA,28,34
Eurytrema procyonis,Platyhelminthes,Trematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fasciola gigantica,Platyhelminthes,Trematoda,18,51,4,13,NA,NA,NA,NA,NA,NA,NA,NA,130,150
Fasciola hepatica,Platyhelminthes,Trematoda,25,76,3,12,NA,NA,NA,NA,NA,NA,NA,NA,125,197
Fascioloides magna,Platyhelminthes,Trematoda,30,100,14,32,NA,NA,NA,NA,NA,NA,NA,NA,109,168
Fibricola cartera,Platyhelminthes,Trematoda,0.51,1.89,0.41,1.5,NA,NA,NA,NA,NA,NA,NA,NA,90,120
Fibricola texensis,Platyhelminthes,Trematoda,0.53,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,117
Filaria martis,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Filaria taxideae,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Filaroides bronchialis,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Filaroides gymnurus,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Filaroides hispidus,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Filaroides krascheninnikovi,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Filaroides martis,Nematoda,Chromadorea,1.4,1.5,NA,NA,1.4,1.4,NA,NA,1.5,1.5,NA,NA,NA,NA
Filaroides milksi,Nematoda,Chromadorea,3,11,58,174,3,4,58,101,11,11,116,174,NA,NA
Gaigeria pachyscelis,Nematoda,Chromadorea,11,17,600,850,11,12,600,650,15,17,700,850,105,129
Galactosomum stelleri,Platyhelminthes,Trematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gastrodiscus aegyptiacus,Platyhelminthes,Trematoda,9,17,2.5,11,NA,NA,NA,NA,NA,NA,NA,NA,131,190
Gastrothylax crumenifer,Platyhelminthes,Trematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gastrothylax glandiformis,Platyhelminthes,Trematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gazellostrongylus lerouxi,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Globocephalus urosubulatus,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gnathostoma doloresi,Nematoda,Chromadorea,20,52,900,2800,20,38,900,1700,27,52,1300,2800,52,67
Gnathostoma procyonis,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gnathostoma spinigerum,Nematoda,Chromadorea,10,31,1000,2500,10,25,1000,1900,9,31,1000,2500,60,70
Gongylonema pulchrum,Nematoda,Chromadorea,30,145,150,2400,30,62,150,300,80,145,300,500,50,70
Gongylonema verrucosum,Nematoda,Chromadorea,32,95,250,460,32,41,250,300,70,95,420,460,45,55
Gynaecotyla adunca,Platyhelminthes,Trematoda,0.35,0.84,0.22,0.39,NA,NA,NA,NA,NA,NA,NA,NA,17,21
Gyrosoma singularis,Platyhelminthes,Trematoda,0.29,0.48,0.07,0.26,NA,NA,NA,NA,NA,NA,NA,NA,80,120
Habronema malani,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Habronema muscae,Nematoda,Chromadorea,8,22,NA,NA,8,14,NA,NA,13,22,NA,NA,40,50
Habronema tomasi,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Habronema zebrae,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haemonchus bedfordi,Nematoda,Chromadorea,9.8,19.5,NA,NA,9.8,11.5,NA,NA,14.5,19.5,NA,NA,NA,NA
Haemonchus contortus,Nematoda,Chromadorea,10,30,400,500,10,20,400,400,18,30,500,500,65,84
Haemonchus horaki,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haemonchus krugeri,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haemonchus mitchelli,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haemonchus placei,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,92
Haemonchus vegliai,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatoxylon trichiuri,Platyhelminthes,Cestoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heterobilharzia americana,Platyhelminthes,Trematoda,3.7,9,0.58,1,3.7,6.7,1,1.5,9,9,0.58,0.58,78,78
Hydatigera taeniaeformis,Platyhelminthes,Cestoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hymenolepis diminuta,Platyhelminthes,Cestoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyostrongylus rubidus,Nematoda,Chromadorea,4,9,NA,NA,4,7,NA,NA,5,9,NA,NA,60,91
Impalaia nudicollis,Nematoda,Chromadorea,7.5,16.7,NA,NA,7.5,8.2,NA,NA,14.8,16.7,NA,NA,63,74
Impalaia nudicollis,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Impalaia tuberculata,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isthmiophora hortensis,Platyhelminthes,Trematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isthmiophora melis,Platyhelminthes,Trematoda,3.5,11.2,0.96,1.62,NA,NA,NA,NA,NA,NA,NA,NA,120,171
Joyeuxiella echinorhynchoides,Platyhelminthes,Cestoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joyeuxiella pasqualei,Platyhelminthes,Cestoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kiluluma goodeyi,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kiluluma magna,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kiluluma rhinocerotis,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liorchis scotiae,Platyhelminthes,Trematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Longistrongylus albifrontis,Nematoda,Chromadorea,7.2,11.3,NA,NA,7.2,7.4,NA,NA,9.9,11.3,NA,NA,70,78
Longistrongylus curvispiculum,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Longistrongylus meyeri,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Longistrongylus namaquensis,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Longistrongylus sabie,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Longistrongylus schrenki,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loxodontofilaria caprini,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lyperosomum sinuosum,Platyhelminthes,Trematoda,4,6,0.5,0.8,NA,NA,NA,NA,NA,NA,NA,NA,40,40
Macracanthorhynchus catulinus,Acanthocephala,Archiacanthocephala,45,125,5000,6000,45,65,NA,NA,125,125,5000,6000,92,105
Macracanthorhynchus hirudinaceus,Acanthocephala,Archiacanthocephala,50,400,7000,9000,50,150,7000,8000,105,500,7000,9000,70,100
Macracanthorhynchus ingens,Acanthocephala,Archiacanthocephala,130,300,4000,8000,130,150,4000,5000,183,300,5000,8000,96,106
Macracanthorhynchus ingens,Acanthocephala,Archiacanthocephala,130,300,4000,8000,130,150,4000,5000,183,300,5000,8000,96,106
Macroorchis spinulosus,Platyhelminthes,Insecta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mansonella llewellyni,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mansonella perforata,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maritrema eroliae,Platyhelminthes,Trematoda,0.25,0.785,0.16,0.33,NA,NA,NA,NA,NA,NA,NA,NA,15,20
Maritreminoides nettae,Platyhelminthes,Trematoda,0.4,0.45,0.23,0.29,NA,NA,NA,NA,NA,NA,NA,NA,18,22
Marshallagia marshalli,Nematoda,Chromadorea,10,20,NA,NA,10,13,NA,NA,12,20,NA,NA,178,217
Marshallagia mongolica,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marshallagia occidentalis,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mastophorus muris,Nematoda,Chromadorea,12,100,400,1500,12,45,400,1200,20,100,200,1500,51,55
Mathevotaenia mephitis,Platyhelminthes,Cestoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
