ParasiteCheckedBinomial,Par.Phylum,Par.Class,length.min.mm,length.max.mm,width.min.um,width.max.um,male.length.min,male.length.max,male.width.min,male.width.max,female.length.min,female.length.max,female.width.min,female.width.max,egg.size.min,egg.size.max
Baschkirovitrema incrassatum,Platyhelminthes,Trematoda,7,17.5,0.96,1.25,NA,NA,NA,NA,NA,NA,NA,NA,104,123
Baylisascaris columnaris,Nematoda,Chromadorea,1.32,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,88
Baylisascaris devosi,Nematoda,Chromadorea,1.12,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,77
Baylisascaris procyonis,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baylisascaris transfuga,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baylisiella tecta,Platyhelminthes,Cestoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolbosoma bobrovoi,Acanthocephala,Palaeacanthocephala,8,8,47,1040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brachylaima fuscatus,Platyhelminthes,Trematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brachylaima pellucidum,Platyhelminthes,Trematoda,1.228,2.885,0.255,0.564,NA,NA,NA,NA,NA,NA,NA,NA,22.8,28
Brachylaima recurva,Platyhelminthes,Trematoda,4,5,0.7,1,NA,NA,NA,NA,NA,NA,NA,NA,28,30
Brachylaima tokudai,Platyhelminthes,Trematoda,1.3,3.5,0.3,0.45,NA,NA,NA,NA,NA,NA,NA,NA,27,33
Brachylaima virginiana,Platyhelminthes,Trematoda,1.94,2.195,0.319,0.319,NA,NA,NA,NA,NA,NA,NA,NA,25,36
Bronchonema magna,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brugia beaveri,Nematoda,Chromadorea,16.5,26,65,100,16.5,16.5,65,65,26,26,100,100,NA,NA
Bunostomum trigonocephalum,Nematoda,Chromadorea,12,26,NA,NA,12,17,NA,NA,19,26,NA,NA,82,97
Calicophron calicophorum,Platyhelminthes,Trematoda,9.44,15,4,7,NA,NA,NA,NA,NA,NA,NA,NA,114,135
Camelostrongylus harrisi,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camelostrongylus mentulatus,Nematoda,Chromadorea,6.5,10,NA,NA,6.5,7.5,NA,NA,8,10,NA,NA,75,85
Capillaria aerophila,Nematoda,Enoplea,15,NA,NA,NA,15,25,60,100,20,40,100,180,58,79
Capillaria aerophila,Nematoda,Enoplea,15,40,60,180,15,25,60,100,20,40,100,180,58,79
